player;input;partida;kills;colocacao
ANXIETY;mouse;1;12;7
ANXIETY;mouse;2;4;30
ANXIETY;mouse;3;0;44
ANXIETY;mouse;4;3;35
ANXIETY;mouse;5;5;21
ANXIETY;mouse;6;4;22
ANXIETY;mouse;7;4;32
ANXIETY;mouse;8;8;8
RAFILD;controle;1;2;23
RAFILD;controle;2;2;5
RAFILD;controle;3;3;15
RAFILD;controle;4;7;24
RAFILD;controle;5;5;31
RAFILD;controle;6;5;29
RAFILD;controle;7;2;44
RAFILD;controle;8;0;0
